zone_pickup	zone_dropoff	trip_distance
Prospect Park	LGA	12.131874999999999
Prospect Park	EWR	21.636666666666667
Prospect-Lefferts Gardens	JFK	12.530263157894737
Prospect-Lefferts Gardens	LGA	12.638113207547173
Prospect-Lefferts Gardens	EWR	21.967999999999996
Queens Village	JFK	9.669999999999998
Queens Village	LGA	10.794444444444444
Queens Village	EWR	38.97
Queensboro Hill	JFK	9.268260869565218
Queensboro Hill	LGA	4.550937499999999
Queensboro Hill	EWR	25.4
Queensbridge/Ravenswood	JFK	15.35138513513514
Queensbridge/Ravenswood	LGA	5.200189393939392
Queensbridge/Ravenswood	EWR	22.468095238095234
Randalls Island	JFK	16.050075757575758
Randalls Island	LGA	7.4196629213483165
Randalls Island	EWR	28.741666666666664
Red Hook	JFK	24.136054054054053
Red Hook	LGA	13.532539682539683
Red Hook	EWR	20.33958333333334
Rego Park	JFK	9.60088825214899
Rego Park	LGA	4.8103571428571446
Rego Park	EWR	23.653333333333336
Richmond Hill	JFK	4.906775844421701
Richmond Hill	LGA	8.191212121212123
Richmond Hill	EWR	36.69
Ridgewood	JFK	10.238124999999998
Ridgewood	LGA	9.105384615384615
Ridgewood	EWR	28.686666666666667
Riverdale/North Riverdale/Fieldston	JFK	26.4875
Riverdale/North Riverdale/Fieldston	LGA	12.495555555555555
Riverdale/North Riverdale/Fieldston	EWR	30.2
Rockaway Park	JFK	10.094285714285716
Roosevelt Island	JFK	15.34953947368422
Roosevelt Island	LGA	6.464081632653063
Roosevelt Island	EWR	21.8475
Rosedale	JFK	5.2134
Rosedale	LGA	12.510000000000002
Rossville/Woodrow	EWR	16.59
Saint Albans	JFK	4.772592592592593
Saint Albans	LGA	11.690714285714284
Saint Michaels Cemetery/Woodside	JFK	8.71
Saint Michaels Cemetery/Woodside	LGA	2.957666666666667
Saint Michaels Cemetery/Woodside	EWR	23.21142857142857
Schuylerville/Edgewater Park	JFK	17.12272727272727
Schuylerville/Edgewater Park	LGA	8.438461538461537
Seaport	JFK	19.131525080906165
Seaport	LGA	13.134555092767894
Seaport	EWR	16.527744807121653
Sheepshead Bay	JFK	14.387142857142859
Sheepshead Bay	LGA	22.5
SoHo	JFK	18.257001148105555
SoHo	LGA	11.229427132514935
SoHo	EWR	14.033739071956948
Soundview/Bruckner	JFK	16.254
Soundview/Bruckner	LGA	10.222222222222221
Soundview/Castle Hill	JFK	15.841666666666665
Soundview/Castle Hill	LGA	9.248125
South Jamaica	JFK	9.8075
South Jamaica	LGA	8.495135135135138
South Jamaica	EWR	31.376874999999995
South Ozone Park	JFK	3.1267038626609387
South Ozone Park	LGA	8.857285714285716
South Ozone Park	EWR	33.63415584415583
South Williamsburg	JFK	14.960857142857142
South Williamsburg	LGA	8.522631578947369
South Williamsburg	EWR	18.0
Springfield Gardens North	JFK	3.088815789473683
Springfield Gardens North	LGA	9.714444444444446
Springfield Gardens South	JFK	2.9558685446009387
Springfield Gardens South	LGA	10.650500000000001
Springfield Gardens South	EWR	33.727837837837825
Spuyten Duyvil/Kingsbridge	JFK	23.675714285714285
Spuyten Duyvil/Kingsbridge	LGA	13.617142857142856
Spuyten Duyvil/Kingsbridge	EWR	27.96666666666667
Stapleton	JFK	21.8
Stapleton	EWR	14.71
Starrett City	JFK	9.225
Starrett City	LGA	15.39
Starrett City	EWR	29.060000000000002
Steinway	JFK	13.40120996441281
Steinway	LGA	3.149312977099236
Steinway	EWR	28.47324675324676
Stuy Town/Peter Cooper Village	JFK	17.323802047781577
Stuy Town/Peter Cooper Village	LGA	10.239479553903355
Stuy Town/Peter Cooper Village	EWR	16.715581395348835
Stuyvesant Heights	JFK	11.059516129032259
Stuyvesant Heights	LGA	10.13735294117647
Stuyvesant Heights	EWR	20.47666666666667
Sunnyside	JFK	13.612482014388467
Sunnyside	LGA	5.591518438177877
Sunnyside	EWR	21.459999999999997
Sunset Park East	JFK	22.272499999999997
Sunset Park East	LGA	15.315555555555555
Sunset Park East	EWR	23.679999999999996
Sunset Park West	JFK	23.346029411764707
Sunset Park West	LGA	13.937058823529412
Sunset Park West	EWR	20.8575
Sutton Place/Turtle Bay North	JFK	16.987265766153328
Sutton Place/Turtle Bay North	LGA	9.355590156549143
Sutton Place/Turtle Bay North	EWR	18.848031272210324
Times Sq/Theatre District	JFK	17.675466119096395
Times Sq/Theatre District	LGA	11.022271319340605
Times Sq/Theatre District	EWR	18.10044603623666
TriBeCa/Civic Center	JFK	20.661353454374026
TriBeCa/Civic Center	LGA	13.273911479944656
TriBeCa/Civic Center	EWR	14.349541442411187
Two Bridges/Seward Park	JFK	17.42925204918036
Two Bridges/Seward Park	LGA	10.312146017699114
Two Bridges/Seward Park	EWR	15.508449612403103
UN/Turtle Bay South	JFK	16.468774003666855
UN/Turtle Bay South	LGA	9.751707357239962
UN/Turtle Bay South	EWR	19.231506346967528
Union Sq	JFK	17.16771445211739
Union Sq	LGA	10.115626655677827
Union Sq	EWR	16.449090909090913
University Heights/Morris Heights	JFK	18.22
University Heights/Morris Heights	LGA	10.166666666666666
Upper East Side North	JFK	18.927939821479917
Upper East Side North	LGA	8.519102625488731
Upper East Side North	EWR	21.076653013458184
Upper East Side South	JFK	18.283805719991435
Upper East Side South	LGA	9.381849460640744
Upper East Side South	EWR	19.262135328119673
Upper West Side North	JFK	19.9042334164588
Upper West Side North	LGA	9.447556396344947
Upper West Side North	EWR	20.728409440738883
Upper West Side South	JFK	20.53401038140383
Upper West Side South	LGA	10.268411396503307
Upper West Side South	EWR	19.665862635556994
Van Cortlandt Park	JFK	22.560000000000002
Van Cortlandt Park	LGA	18.130000000000003
Van Cortlandt Village	JFK	21.382857142857144
Van Cortlandt Village	LGA	17.1525
Van Cortlandt Village	EWR	30.46
Van Nest/Morris Park	JFK	17.277142857142856
Van Nest/Morris Park	LGA	10.428333333333335
Washington Heights North	JFK	21.16999999999999
Washington Heights North	LGA	10.538807339449544
Washington Heights North	EWR	24.669285714285714
Washington Heights South	JFK	20.429835680751168
Washington Heights South	LGA	9.902561863173219
Washington Heights South	EWR	24.069042553191487
West Brighton	LGA	27.75
West Chelsea/Hudson Yards	JFK	18.38382218694182
West Chelsea/Hudson Yards	LGA	11.386719666362541
West Chelsea/Hudson Yards	EWR	16.786931497175146
West Concourse	JFK	18.876538461538455
West Concourse	LGA	8.048529411764703
West Concourse	EWR	25.185714285714287
West Farms/Bronx River	JFK	19.305714285714284
West Farms/Bronx River	LGA	9.59
West Village	JFK	18.776096691103586
West Village	LGA	11.231795596849123
West Village	EWR	14.421667453944263
Westchester Village/Unionport	JFK	15.710666666666667
Westchester Village/Unionport	LGA	8.463333333333335
Westerleigh	JFK	26.5
Westerleigh	LGA	24.14
Westerleigh	EWR	11.45
Whitestone	JFK	12.524000000000001
Whitestone	LGA	4.06875
Willets Point	JFK	9.09375
